concept_id,wn30_id,domain
100751,01644746-v,verb.creation
100752,01645157-v,verb.creation
100753,01645290-v,verb.creation
100754,01645421-v,verb.creation
100755,01645601-v,verb.creation
100756,01646075-v,verb.creation
100757,01646300-v,verb.creation
100758,01646528-v,verb.creation
100759,01646682-v,verb.creation
10076,02002384-n,noun.animal
100760,01646866-v,verb.creation
100761,01647131-v,verb.creation
100762,01647229-v,verb.creation
100763,01647543-v,verb.creation
100764,01647672-v,verb.creation
100765,01647867-v,verb.creation
100766,01648126-v,verb.creation
100767,01648373-v,verb.creation
100768,01648488-v,verb.creation
100769,01648684-v,verb.creation
10077,02002556-n,noun.animal
100770,01648790-v,verb.creation
100771,01648894-v,verb.creation
100772,01649024-v,verb.creation
100773,01649124-v,verb.creation
100774,01649251-v,verb.creation
100775,01649482-v,verb.creation
100776,01649605-v,verb.creation
100777,01649695-v,verb.creation
100778,01649809-v,verb.creation
100779,01649999-v,verb.creation
10078,02002724-n,noun.animal
100780,01650425-v,verb.creation
100781,01650610-v,verb.creation
100782,01651110-v,verb.creation
100783,01651293-v,verb.creation
100784,01651444-v,verb.creation
100785,01651972-v,verb.creation
100786,01652139-v,verb.creation
100787,01652429-v,verb.creation
100788,01652537-v,verb.creation
100789,01652652-v,verb.creation
10079,02002875-n,noun.animal
100790,01652731-v,verb.creation
100791,01652895-v,verb.creation
100792,01653013-v,verb.creation
100793,01653442-v,verb.creation
100794,01653873-v,verb.creation
100795,01654156-v,verb.creation
100796,01654271-v,verb.creation
100797,01654628-v,verb.creation
100798,01655347-v,verb.creation
100799,01655505-v,verb.creation
1008,00218045-n,noun.act
10080,02003037-n,noun.animal
100800,01655639-v,verb.creation
100801,01655763-v,verb.creation
100802,01655902-v,verb.creation
100803,01656107-v,verb.creation
100804,01656233-v,verb.creation
100805,01656458-v,verb.creation
100806,01656788-v,verb.creation
100807,01657254-v,verb.creation
100808,01657524-v,verb.creation
100809,01657641-v,verb.creation
10081,02003204-n,noun.animal
100810,01657828-v,verb.creation
100811,01657977-v,verb.creation
100812,01658188-v,verb.creation
100813,01658444-v,verb.creation
100814,01658586-v,verb.creation
100815,01658762-v,verb.creation
100816,01659007-v,verb.creation
100817,01659144-v,verb.creation
100818,01659248-v,verb.creation
100819,01660082-v,verb.creation
10082,02003456-n,noun.animal
100820,01660252-v,verb.creation
100821,01660386-v,verb.creation
100822,01660547-v,verb.creation
100823,01660640-v,verb.creation
100824,01660772-v,verb.creation
100825,01660870-v,verb.creation
100826,01660976-v,verb.creation
100827,01661096-v,verb.creation
100828,01661243-v,verb.creation
100829,01661472-v,verb.creation
10083,02003577-n,noun.animal
100830,01661655-v,verb.creation
100831,01661804-v,verb.creation
100832,01662118-v,verb.creation
100833,01662434-v,verb.creation
100834,01662614-v,verb.creation
100835,01662771-v,verb.creation
100836,01663205-v,verb.creation
